epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.42247867,0.80572953,0.29035057,0.87750249
2,0.27633111,0.88444149,0.20680359,0.91798474
3,0.22217454,0.90866481,0.17696207,0.92843712
4,0.18765685,0.92314074,0.14876742,0.94115695
5,0.10331332,0.95962780,0.04395532,0.98291118
6,0.04217496,0.98459773,0.02539852,0.99065369
7,0.02515375,0.99113747,0.01620441,0.99435903
8,0.01656676,0.99404095,0.01288858,0.99563101
9,0.01262828,0.99554800,0.01177262,0.99607344
10,0.00983095,0.99641904,0.01034471,0.99646057
