path,prob_fake
data\deepdetect-2025_dddata\ddata\train\real\11839.jpg,0.99951172
data\deepdetect-2025_dddata\ddata\train\real\47364.jpg,0.99707031
data\deepdetect-2025_dddata\ddata\train\real\00400.jpg,0.99658203
data\deepdetect-2025_dddata\ddata\train\real\29478.jpg,0.99609375
data\deepdetect-2025_dddata\ddata\train\real\47508.jpg,0.99462891
data\deepdetect-2025_dddata\ddata\train\real\19261.jpg,0.99462891
data\deepdetect-2025_dddata\ddata\train\real\12391.jpg,0.99365234
data\deepdetect-2025_dddata\ddata\train\real\59315.jpg,0.99267578
data\deepdetect-2025_dddata\ddata\train\real\45780.jpg,0.99218750
data\deepdetect-2025_dddata\ddata\train\real\56394.jpg,0.99169922
data\deepdetect-2025_dddata\ddata\train\real\64354.jpg,0.99072266
data\deepdetect-2025_dddata\ddata\train\real\26658.jpg,0.99023438
data\deepdetect-2025_dddata\ddata\train\real\23300.jpg,0.98925781
data\deepdetect-2025_dddata\ddata\train\real\53019.jpg,0.98730469
data\deepdetect-2025_dddata\ddata\train\real\28308.jpg,0.98632812
data\deepdetect-2025_dddata\ddata\train\real\35859.jpg,0.98583984
data\deepdetect-2025_dddata\ddata\train\real\18396.jpg,0.98388672
data\deepdetect-2025_dddata\ddata\train\real\33437.jpg,0.98339844
data\deepdetect-2025_dddata\ddata\train\real\27949.jpg,0.98291016
data\deepdetect-2025_dddata\ddata\train\real\09619.jpg,0.98144531
data\deepdetect-2025_dddata\ddata\train\real\58030.jpg,0.98046875
data\deepdetect-2025_dddata\ddata\train\real\63504.jpg,0.97949219
data\deepdetect-2025_dddata\ddata\train\real\54119.jpg,0.97851562
data\deepdetect-2025_dddata\ddata\train\real\24575.jpg,0.97851562
data\deepdetect-2025_dddata\ddata\train\real\28277.jpg,0.97802734
data\deepdetect-2025_dddata\ddata\train\real\30414.jpg,0.97753906
data\deepdetect-2025_dddata\ddata\train\real\48996.jpg,0.97656250
data\deepdetect-2025_dddata\ddata\train\real\61822.jpg,0.97607422
data\deepdetect-2025_dddata\ddata\train\real\03347.jpg,0.97558594
data\deepdetect-2025_dddata\ddata\train\real\48676.jpg,0.97509766
data\deepdetect-2025_dddata\ddata\train\real\53646.jpg,0.97363281
data\deepdetect-2025_dddata\ddata\train\real\62395.jpg,0.97363281
data\deepdetect-2025_dddata\ddata\train\real\27584.jpg,0.97314453
data\deepdetect-2025_dddata\ddata\train\real\04033.jpg,0.97314453
data\deepdetect-2025_dddata\ddata\train\real\16472.jpg,0.97265625
data\deepdetect-2025_dddata\ddata\train\real\23096.jpg,0.96972656
data\deepdetect-2025_dddata\ddata\train\real\02177.jpg,0.96923828
data\deepdetect-2025_dddata\ddata\train\real\13548.jpg,0.96923828
data\deepdetect-2025_dddata\ddata\train\real\40708.jpg,0.96923828
data\deepdetect-2025_dddata\ddata\train\real\48636.jpg,0.96875000
data\deepdetect-2025_dddata\ddata\train\real\61529.jpg,0.96875000
data\deepdetect-2025_dddata\ddata\train\real\65946.jpg,0.96777344
data\deepdetect-2025_dddata\ddata\train\real\31956.jpg,0.96777344
data\deepdetect-2025_dddata\ddata\train\real\10229.jpg,0.96728516
data\deepdetect-2025_dddata\ddata\train\real\48432.jpg,0.96728516
data\deepdetect-2025_dddata\ddata\train\real\35570.jpg,0.96679688
data\deepdetect-2025_dddata\ddata\train\real\16075.jpg,0.96630859
data\deepdetect-2025_dddata\ddata\train\real\18360.jpg,0.96582031
data\deepdetect-2025_dddata\ddata\train\real\58592.jpg,0.96533203
data\deepdetect-2025_dddata\ddata\train\real\49572.jpg,0.96533203
data\deepdetect-2025_dddata\ddata\train\real\30402.jpg,0.96484375
data\deepdetect-2025_dddata\ddata\train\real\37912.jpg,0.96484375
data\deepdetect-2025_dddata\ddata\train\real\14793.jpg,0.96386719
data\deepdetect-2025_dddata\ddata\train\real\46118.jpg,0.96386719
data\deepdetect-2025_dddata\ddata\train\real\13756.jpg,0.96386719
data\deepdetect-2025_dddata\ddata\train\real\29604.jpg,0.96289062
data\deepdetect-2025_dddata\ddata\train\real\44659.jpg,0.96240234
data\deepdetect-2025_dddata\ddata\train\real\06839.jpg,0.96240234
data\deepdetect-2025_dddata\ddata\train\real\24219.jpg,0.96191406
data\deepdetect-2025_dddata\ddata\train\real\23232.jpg,0.96142578
data\deepdetect-2025_dddata\ddata\train\real\57137.jpg,0.96044922
data\deepdetect-2025_dddata\ddata\train\real\24742.jpg,0.96044922
data\deepdetect-2025_dddata\ddata\train\real\23171.jpg,0.95947266
data\deepdetect-2025_dddata\ddata\train\real\39797.jpg,0.95947266
data\deepdetect-2025_dddata\ddata\train\real\37001.jpg,0.95800781
data\deepdetect-2025_dddata\ddata\train\real\32374.jpg,0.95703125
data\deepdetect-2025_dddata\ddata\train\real\29825.jpg,0.95703125
data\deepdetect-2025_dddata\ddata\train\real\15141.jpg,0.95605469
data\deepdetect-2025_dddata\ddata\train\real\67693.jpg,0.95605469
data\deepdetect-2025_dddata\ddata\train\real\60827.jpg,0.95605469
data\deepdetect-2025_dddata\ddata\train\real\62237.jpg,0.95605469
data\deepdetect-2025_dddata\ddata\train\real\42966.jpg,0.95556641
data\deepdetect-2025_dddata\ddata\train\real\57666.jpg,0.95507812
data\deepdetect-2025_dddata\ddata\train\real\20693.jpg,0.95410156
data\deepdetect-2025_dddata\ddata\train\real\49996.jpg,0.95410156
data\deepdetect-2025_dddata\ddata\train\real\21786.jpg,0.95361328
data\deepdetect-2025_dddata\ddata\train\real\17311.jpg,0.95361328
data\deepdetect-2025_dddata\ddata\train\real\62296.jpg,0.95263672
data\deepdetect-2025_dddata\ddata\train\real\07502.jpg,0.95214844
data\deepdetect-2025_dddata\ddata\train\real\09183.jpg,0.95214844
data\deepdetect-2025_dddata\ddata\train\real\35503.jpg,0.95214844
data\deepdetect-2025_dddata\ddata\train\real\38568.jpg,0.95166016
data\deepdetect-2025_dddata\ddata\train\real\49796.jpg,0.95166016
data\deepdetect-2025_dddata\ddata\train\real\08186.jpg,0.95068359
data\deepdetect-2025_dddata\ddata\train\real\46028.jpg,0.95068359
data\deepdetect-2025_dddata\ddata\train\real\59246.jpg,0.94970703
data\deepdetect-2025_dddata\ddata\train\real\27928.jpg,0.94970703
data\deepdetect-2025_dddata\ddata\train\real\65543.jpg,0.94970703
data\deepdetect-2025_dddata\ddata\train\real\36084.jpg,0.94970703
data\deepdetect-2025_dddata\ddata\train\real\39551.jpg,0.94873047
data\deepdetect-2025_dddata\ddata\train\real\28564.jpg,0.94873047
data\deepdetect-2025_dddata\ddata\train\real\01358.jpg,0.94873047
data\deepdetect-2025_dddata\ddata\train\real\44410.jpg,0.94824219
data\deepdetect-2025_dddata\ddata\train\real\45391.jpg,0.94824219
data\deepdetect-2025_dddata\ddata\train\real\21743.jpg,0.94824219
data\deepdetect-2025_dddata\ddata\train\real\01348.jpg,0.94775391
data\deepdetect-2025_dddata\ddata\train\real\57978.jpg,0.94775391
data\deepdetect-2025_dddata\ddata\train\real\25855.jpg,0.94726562
data\deepdetect-2025_dddata\ddata\train\real\07300.jpg,0.94580078
data\deepdetect-2025_dddata\ddata\train\real\28395.jpg,0.94531250
data\deepdetect-2025_dddata\ddata\train\real\04526.jpg,0.94531250
data\deepdetect-2025_dddata\ddata\train\real\06342.jpg,0.94482422
data\deepdetect-2025_dddata\ddata\train\real\61918.jpg,0.94482422
data\deepdetect-2025_dddata\ddata\train\real\01324.jpg,0.94433594
data\deepdetect-2025_dddata\ddata\train\real\38969.jpg,0.94384766
data\deepdetect-2025_dddata\ddata\train\real\57315.jpg,0.94335938
data\deepdetect-2025_dddata\ddata\train\real\15146.jpg,0.94238281
data\deepdetect-2025_dddata\ddata\train\real\64896.jpg,0.94238281
data\deepdetect-2025_dddata\ddata\train\real\67593.jpg,0.94238281
data\deepdetect-2025_dddata\ddata\train\real\17918.jpg,0.94140625
data\deepdetect-2025_dddata\ddata\train\real\46184.jpg,0.94140625
data\deepdetect-2025_dddata\ddata\train\real\22874.jpg,0.94091797
data\deepdetect-2025_dddata\ddata\train\real\30836.jpg,0.93994141
data\deepdetect-2025_dddata\ddata\train\real\40303.jpg,0.93896484
data\deepdetect-2025_dddata\ddata\train\real\25987.jpg,0.93896484
data\deepdetect-2025_dddata\ddata\train\real\34256.jpg,0.93798828
data\deepdetect-2025_dddata\ddata\train\real\24694.jpg,0.93750000
data\deepdetect-2025_dddata\ddata\train\real\29985.jpg,0.93701172
data\deepdetect-2025_dddata\ddata\train\real\62498.jpg,0.93554688
data\deepdetect-2025_dddata\ddata\train\real\06425.jpg,0.93505859
data\deepdetect-2025_dddata\ddata\train\real\44874.jpg,0.93505859
data\deepdetect-2025_dddata\ddata\train\real\63746.jpg,0.93505859
