threshold,accuracy,balanced_accuracy,precision,recall,f1,tn,fp,fn,tp
0.05,0.7244287899151874,0.7339507127760178,0.6366202368534085,0.9976920857774785,0.777270002996228,5256,5922,24,10375
0.1,0.7559901747230847,0.7643587206134561,0.6647202258726899,0.9961534762957975,0.7973675095249787,5953,5225,40,10359
0.15,0.7758724567826852,0.7835113408701866,0.6838036080089869,0.9950956822771418,0.810590631364079,6393,4785,51,10348
0.2,0.7886638550308198,0.7958402657563157,0.696639051660268,0.9946148668141166,0.8193773271008382,6674,4504,56,10343
0.25,0.7982110580710943,0.8050380401682992,0.706581915111749,0.9941340513510912,0.8260487415097019,6885,4293,61,10338
0.3,0.8062288547990917,0.8127630516105717,0.7151557093425605,0.993749398980671,0.8317437321416516,7062,4116,65,10334
0.35,0.8129026277981184,0.8191875213168833,0.7225097929490766,0.9932685835176458,0.8365256124716726,7211,3967,70,10329
0.39999999999999997,0.820132548547064,0.8261320055496891,0.7308073654390934,0.9923069525915952,0.8417145886858362,7377,3801,80,10319
0.44999999999999996,0.8256476804004264,0.8314315055790336,0.7372560234503467,0.9916338109433598,0.8457311572208672,7503,3675,87,10312
0.49999999999999994,0.8308383927330028,0.83642459221145,0.7433826181031373,0.9911529954803344,0.8495713814700012,7620,3558,92,10307
0.5499999999999999,0.8372804375028966,0.8426321099629522,0.7510204081632652,0.9908645062025193,0.8544301173343906,7762,3416,95,10304
0.6,0.8421930759605135,0.8473434089680401,0.7572080023536333,0.9899990383690738,0.8580954365487898,7877,3301,104,10295
0.65,0.847476479584743,0.8524159045668451,0.7639239566315164,0.9892297336282333,0.8620993086104447,7999,3179,112,10287
0.7,0.8535477591880243,0.8582521732489004,0.7717138352976503,0.9885565919799979,0.8667790893755615,8137,3041,119,10280
0.75,0.8598507670204384,0.8642819381090618,0.7803542917965482,0.987017982498317,0.8716032608690718,8289,2889,135,10264
0.7999999999999999,0.8675904898734764,0.8717084077977892,0.7909722222222221,0.9857678622944512,0.877691682006441,8469,2709,148,10251
0.85,0.8776938406636696,0.8814194950857801,0.8050794150023588,0.9846139051831905,0.8858415884409115,8699,2479,160,10239
0.9,0.8922927190990406,0.8954091474621364,0.8271084825407112,0.9817290124050387,0.8978102189776056,9044,2134,190,10209
0.95,0.9147703573249293,0.9168857435350449,0.86493860845839,0.97547841138571,0.9168888688023217,9594,1584,255,10144
