policy,calibration_method,threshold,real_recall,fake_recall,ece,auc,balanced_accuracy,false_positives,true_negatives,pass_fake_recall_floor,constrained_rank,run_dir
fixed_0.50,none,0.5,0.30604759348720695,0.9992306952591593,0.35619412007025153,,0.6526391443731832,7757,3421,True,18,/home/ubuntu/work/DSA4266/outputs/runs/20260402_181141_swin_full_swin_gen_v2
fixed_0.60,none,0.6,0.31731973519413126,0.9991345321665543,0.35619412007025153,,0.6582271336803428,7631,3547,True,16,/home/ubuntu/work/DSA4266/outputs/runs/20260402_181141_swin_full_swin_gen_v2
best_bal_acc,none,0.95,0.43129361245303266,0.9980767381478987,0.35619412007025153,,0.7146851753004657,6357,4821,True,8,/home/ubuntu/work/DSA4266/outputs/runs/20260402_181141_swin_full_swin_gen_v2
best_f1_fake,none,0.95,0.43129361245303266,0.9980767381478987,0.35619412007025153,,0.7146851753004657,6357,4821,True,9,/home/ubuntu/work/DSA4266/outputs/runs/20260402_181141_swin_full_swin_gen_v2
constrained_real_at_fake_95,none,0.95,0.43129361245303266,0.9980767381478987,0.35619412007025153,,0.7146851753004657,6357,4821,True,10,/home/ubuntu/work/DSA4266/outputs/runs/20260402_181141_swin_full_swin_gen_v2
constrained_real_at_fake_98,none,0.95,0.43129361245303266,0.9980767381478987,0.35619412007025153,,0.7146851753004657,6357,4821,True,11,/home/ubuntu/work/DSA4266/outputs/runs/20260402_181141_swin_full_swin_gen_v2
youden_j,none,0.95,0.43129361245303266,0.9980767381478987,0.35619412007025153,,0.7146851753004657,6357,4821,True,12,/home/ubuntu/work/DSA4266/outputs/runs/20260402_181141_swin_full_swin_gen_v2
cost_fp3_fn1,none,0.95,0.43129361245303266,0.9980767381478987,0.35619412007025153,,0.7146851753004657,6357,4821,True,13,/home/ubuntu/work/DSA4266/outputs/runs/20260402_181141_swin_full_swin_gen_v2
cost_fp5_fn1,none,0.95,0.43129361245303266,0.9980767381478987,0.35619412007025153,,0.7146851753004657,6357,4821,True,14,/home/ubuntu/work/DSA4266/outputs/runs/20260402_181141_swin_full_swin_gen_v2
fixed_0.50,temperature,0.5,0.30604759348720695,0.9992306952591593,0.2525084788645046,,0.6526391443731832,7757,3421,True,17,/home/ubuntu/work/DSA4266/outputs/runs/20260402_181141_swin_full_swin_gen_v2
