metric,value
accuracy,0.9147703573249293
balanced_accuracy,0.9167785171272591
precision,0.8669410150891632
recall,0.9724011924223483
f1,0.9166477813533971
threshold,0.9
roc_auc,0.9740595369123382
temperature,1.249801754951477
val_selected_threshold,0.9
val_constraint_fake_recall,0.9754748737677325
val_constraint_real_recall,0.9999999999999998
val_constraint_balanced_accuracy,0.9877374368838661
val_constraint_feasible,True
pr_auc_fake,0.9625585154175706
pr_auc_real,0.9789343331350784
