threshold,accuracy,balanced_accuracy,precision,recall,f1,tn,fp,fn,tp
0.05,0.7835658339898967,0.7909600963427208,0.6912088645617782,0.9957688239253772,0.8159968479112576,6552,4626,44,10355
0.1,0.8109097650275756,0.8172976085637698,0.7200362142210459,0.9942302144436963,0.8352047822921048,7158,4020,60,10339
0.15,0.8243963479631089,0.8302773893143274,0.7352983055674213,0.9931724204250407,0.8449989772954816,7460,3718,71,10328
0.2,0.8348241182740882,0.8403082933002196,0.7476269835519165,0.9922107894989901,0.8527272727267826,7695,3483,81,10318
0.25,0.8426101867729526,0.8477794937100063,0.7573307856250459,0.9909606692951244,0.8585353661579692,7876,3302,94,10305
0.3,0.8495156880011123,0.8544142137206407,0.7660714285714285,0.9900952014616788,0.8637946222571531,8034,3144,103,10296
0.35,0.8549844742086481,0.8596522289027095,0.7733493758459917,0.9889412443504182,0.8679579693627179,8164,3014,115,10284
0.39999999999999997,0.8600361496037447,0.864507772546705,0.77999544661152,0.9883642657947878,0.8719036308105009,8279,2899,121,10278
0.44999999999999996,0.8653195532279743,0.8695869697959966,0.787066125201134,0.9877872872391574,0.8760767590613399,8399,2779,127,10272
0.49999999999999994,0.87078833943551,0.8748082308518488,0.7950228699899216,0.9861525146648714,0.8803330758000034,8534,2644,144,10255
0.5499999999999999,0.8759790517680864,0.8798013174842654,0.8022227439931126,0.9856716992018462,0.8845357266132435,8651,2527,149,10250
0.6,0.8803355424757844,0.8839724970113992,0.8086551370133459,0.9847100682757955,0.8880409331362665,8755,2423,159,10240
0.65,0.8848310701209622,0.8882711670512242,0.8154999202678997,0.9835561111645349,0.8916786539378678,8864,2314,171,10228
0.7,0.8902535106826713,0.8934812056384502,0.8235436306502295,0.9828829695162995,0.8961858833839842,8988,2190,178,10221
0.75,0.8957686425360337,0.898750548240605,0.8323817292006525,0.9813443600346186,0.9007458405043798,9123,2055,194,10205
0.7999999999999999,0.901191083097743,0.9039103244491814,0.8416398049425571,0.9792287719973073,0.9052360209791455,9262,1916,216,10183
0.85,0.9075867822218102,0.9099792883728117,0.853180939574754,0.9762477161265505,0.9105749394559556,9431,1747,247,10152
0.9,0.9147703573249293,0.9167785171272591,0.8669410150891631,0.9724011924223481,0.9166477813528984,9626,1552,287,10112
0.95,0.9249663994067757,0.9262473341582814,0.8911958652646585,0.9617270891431867,0.9251190971735443,9957,1221,398,10001
