threshold,accuracy,balanced_accuracy,precision,recall,f1,tn,fp,fn,tp
0.05,0.5111461278212912,0.5281703017915808,0.4964423857504417,0.9997115107221847,0.66343331206082,633,10545,3,10396
0.1,0.5117949668628632,0.52879653188641,0.4967745018397286,0.9997115107221847,0.6637298091038148,647,10531,3,10396
0.15,0.5121193863836493,0.5291096469338245,0.4969407265774379,0.9997115107221847,0.6638781570288357,654,10524,3,10396
0.2,0.5123974602586087,0.5293780312601798,0.49708329348761593,0.9997115107221847,0.6640053651833457,660,10518,3,10396
0.25,0.5125364971960884,0.5295122234233575,0.49715460762278224,0.9997115107221847,0.6640689875434719,663,10515,3,10396
0.3,0.5127682254252213,0.5297358770286537,0.49727350999713,0.9997115107221847,0.664175051908197,668,10510,3,10396
0.35,0.5128145710710479,0.5297806077497128,0.4972972972972973,0.9997115107221847,0.6641962688469879,669,10509,3,10396
0.39999999999999997,0.512907262362701,0.5298700691918313,0.4973448787255418,0.9997115107221847,0.6642387067914545,671,10507,3,10396
0.44999999999999996,0.5130926449460074,0.5300489920760681,0.49744006890281833,0.9997115107221847,0.6643235989515659,675,10503,3,10396
0.49999999999999994,0.5131853362376605,0.5301384535181867,0.49748767765707996,0.9997115107221847,0.6643660531692903,677,10501,3,10396
0.5499999999999999,0.5133243731751402,0.5302726456813643,0.4975591078778597,0.9997115107221847,0.6644297446708884,680,10498,3,10396
0.6,0.5135561014042731,0.5304962992866604,0.4976782038393413,0.9997115107221847,0.6645359243155878,685,10493,3,10396
0.65,0.513787829633406,0.5307199528919565,0.4977973568281938,0.9997115107221847,0.6646421379019312,690,10488,3,10396
0.7,0.5141585948000186,0.5310777986604304,0.4979881203295651,0.9997115107221847,0.6648121502793322,698,10480,3,10396
0.75,0.5142512860916717,0.5311672601025488,0.49803583405193064,0.9997115107221847,0.6648546669646697,700,10478,3,10396
0.7999999999999999,0.5143439773833248,0.5312567215446672,0.49808355691835954,0.9997115107221847,0.6648971890884883,702,10476,3,10396
0.85,0.5147147425499374,0.5316145673131409,0.49827453987730064,0.9997115107221847,0.6650673319894482,710,10468,3,10396
0.9,0.5152245446540298,0.5321066052447925,0.4985373807126073,0.9997115107221847,0.6653014207086305,721,10457,3,10396
0.95,0.5159197293414284,0.5327775660606808,0.4988962472406181,0.9997115107221847,0.6656208982932459,736,10442,3,10396
