threshold,accuracy,balanced_accuracy,precision,recall,f1,tn,fp,fn,tp
0.05,0.6156092135143904,0.6289899962338272,0.5563286058335564,0.9996153476295796,0.7148260211795707,2888,8290,4,10395
0.1,0.6258516012420633,0.6388654331121857,0.5630079098493878,0.9993268583517644,0.7202411893123573,3112,8066,7,10392
0.15,0.6308105853455068,0.6436516202655225,0.566290665358836,0.9993268583517644,0.7229217391299729,3219,7959,7,10392
0.2,0.6341938174908467,0.6469169629028458,0.5685523580260422,0.9993268583517644,0.7247620043933027,3292,7886,7,10392
0.25,0.6371599388237476,0.6497797290506362,0.5705501262764906,0.9993268583517644,0.7263831125707461,3356,7822,7,10392
0.3,0.6397089493442091,0.6522399187088934,0.5722782091524864,0.9993268583517644,0.7277820575665934,3411,7767,7,10392
0.35,0.6416091208230986,0.6540738782723217,0.5735732420796997,0.9993268583517644,0.7288284181360867,3452,7726,7,10392
0.39999999999999997,0.644621587801826,0.6569813751411712,0.5756383980501856,0.9993268583517644,0.7304934626735132,3517,7661,7,10392
0.44999999999999996,0.6469852157389813,0.6592592910899482,0.5772777777777778,0.9992306952591593,0.7317863305041309,3569,7609,8,10391
0.49999999999999994,0.6496732631969226,0.6618503220861399,0.5791527313266444,0.9991345321665543,0.7332651116830808,3628,7550,9,10390
0.5499999999999999,0.6527320758214765,0.6648025496760487,0.5812912610495692,0.9991345321665543,0.7349768330204383,3694,7484,9,10390
0.6,0.655188395050285,0.6671732778921875,0.5830200325458729,0.9991345321665543,0.7363571934793361,3747,7431,9,10390
0.65,0.6582935533206655,0.6701668853779121,0.5852298332582244,0.9990383690739493,0.7380910091999177,3815,7363,10,10389
0.7,0.6621865875700977,0.6739242659468869,0.5880122254924157,0.9990383690739493,0.7402999964366305,3899,7279,10,10389
0.75,0.6664040413403161,0.6779947615632762,0.5910564942823008,0.9990383690739493,0.7427080354584977,3990,7188,10,10389
0.7999999999999999,0.6712239885062798,0.6826434057281923,0.5945853128040753,0.9989422059813442,0.7454610692496219,4095,7083,11,10388
0.85,0.67785141585948,0.6890264955386879,0.5995381062355658,0.9985575536109239,0.749233377827014,4242,6936,15,10384
0.9,0.6911062705658804,0.7018127801111392,0.6096300645918966,0.9983652274257139,0.7570090050671584,4530,6648,17,10382
0.95,0.7156231172081383,0.7254719807262251,0.6291896478574459,0.9982690643331088,0.7718789501073403,5060,6118,18,10381
